VG,VD,W,L,ID,abs_ID,log_ID,device
1,0.8,5,5,1.7036e-07,1.7036e-07,-6.768632368598289,top1rep
1,0.9,5,5,1.7814e-07,1.7814e-07,-6.749238552020311,top1rep
1,1.0,5,5,1.953e-07,1.953e-07,-6.709297756712146,top1rep
1,1.1,5,5,1.9784e-07,1.9784e-07,-6.703685896646759,top1rep
1,1.2,5,5,2.0116e-07,2.0116e-07,-6.696458373051111,top1rep
1,1.3,5,5,2.0392e-07,2.0392e-07,-6.6905401775387885,top1rep
1,1.4,5,5,2.0334e-07,2.0334e-07,-6.6917771807789785,top1rep
1,1.5,5,5,2.051e-07,2.051e-07,-6.688034339631634,top1rep
1,1.6,5,5,2.0704e-07,2.0704e-07,-6.683945741011394,top1rep
1,1.7,5,5,2.0568e-07,2.0568e-07,-6.686807936365196,top1rep
1,1.8,5,5,2.0892e-07,2.0892e-07,-6.680019982835044,top1rep
1,1.9,5,5,2.0954e-07,2.0954e-07,-6.678733060425211,top1rep
1,2.0,5,5,2.045e-07,2.045e-07,-6.689306687656639,top1rep
1,2.1,5,5,2.0254e-07,2.0254e-07,-6.6934891943566175,top1rep
1,2.2,5,5,2.0848e-07,2.0848e-07,-6.68093560163149,top1rep
1,2.3000000000000003,5,5,2.0822e-07,2.0822e-07,-6.681477557858743,top1rep
1,2.4,5,5,2.0904e-07,2.0904e-07,-6.679770603280731,top1rep
1,2.5,5,5,2.0868e-07,2.0868e-07,-6.680519171949663,top1rep
1,2.6,5,5,2.1036e-07,2.1036e-07,-6.67703683785858,top1rep
1,2.7,5,5,2.0652e-07,2.0652e-07,-6.6850378836248145,top1rep
1,2.8000000000000003,5,5,2.0926e-07,2.0926e-07,-6.67931377901667,top1rep
1,2.9,5,5,2.045e-07,2.045e-07,-6.689306687656639,top1rep
1,3.0,5,5,2.0944e-07,2.0944e-07,-6.6789403707933195,top1rep
