W,L,VG,VD,ID,gds
5,5,0.0,1.65,4.347573698843535e-09,9.379794556055269e-10
5,5,0.0,1.7,4.393634761439556e-09,9.044587037807393e-10
5,5,0.0,1.75,4.438020030434589e-09,8.70965387389529e-10
5,5,0.0,1.8,4.4807334690729676e-09,8.376019604688621e-10
5,5,0.0,1.85,4.521783981088419e-09,8.044635619312304e-10
5,5,0.0,1.9,4.561185041686013e-09,7.71637899445619e-10
5,5,0.0,1.95,4.59895432479924e-09,7.392052151184691e-10
5,5,0.0,2.0,4.6351133304944405e-09,7.07238324241729e-10
5,5,0.0,2.05,4.6696870159566285e-09,6.758027183371697e-10
5,5,0.0,2.1,4.70270343305411e-09,6.449567238646977e-10
5,5,0.0,2.15,4.734193375055964e-09,6.147517082485778e-10
5,5,0.0,2.2,4.76419003466711e-09,5.852323252771799e-10
5,5,0.0,2.25,4.792728675161295e-09,5.564367924221706e-10
5,5,0.0,2.3,4.819846316033029e-09,5.283971931757818e-10
5,5,0.0,2.35,4.8455814342593e-09,5.011397980975771e-10
5,5,0.0,2.4,4.869973681961103e-09,4.746853988752797e-10
5,5,0.0,2.45,4.893063620986524e-09,4.490496503216413e-10
5,5,0.0,2.5,4.914892474697728e-09,4.2424341583687386e-10
5,5,0.0,2.55,4.935501897035434e-09,4.0027311245347395e-10
5,5,0.0,2.6,4.954933758754877e-09,3.771410521388613e-10
5,5,0.0,2.65,4.973229950574273e-09,3.54845776554956e-10
5,5,0.0,2.7,4.990432202847812e-09,3.3338238295853657e-10
5,5,0.0,2.75,5.006581921272883e-09,3.127428393697154e-10
5,5,0.0,2.8,5.021720038055731e-09,2.9291628753654253e-10
5,5,0.0,2.85,5.035886877896409e-09,2.7388933258228916e-10
5,5,0.0,2.9,5.049122038105986e-09,2.5564631853881806e-10
5,5,0.0,2.95,5.061464282136315e-09,2.3816958924670905e-10
5,5,0.0,3.0,5.072951445782367e-09,2.2143973434226296e-10
5,5,0.0,3.05,5.083620355309399e-09,2.0543582025614605e-10
5,5,0.0,3.1,5.093506756757163e-09,1.901356063205681e-10
5,5,0.0,3.15,5.102645255681495e-09,1.755157462246858e-10
5,5,0.0,3.2,5.111069266610106e-09,1.6155197517424486e-10
5,5,0.0,3.25,5.118810971507843e-09,1.482192832040229e-10
5,5,0.0,3.3,5.125901286571856e-09,1.354920751633096e-10
5,5,0.0,3.35,5.132369836705415e-09,1.233443179480332e-10
5,5,0.0,3.4,5.138244937046542e-09,1.1174967559053494e-10
5,5,0.0,3.45,5.1435535809609555e-09,1.0068163284188449e-10
5,5,0.0,3.5,5.1483214339400766e-09,9.011360789381953e-11
5,5,0.0,3.55,5.152572832877156e-09,8.001905488998538e-11
5,5,0.0,3.6,5.156330790226654e-09,7.037155687058004e-11
5,5,0.0,3.65,5.1596170025856035e-09,6.114490978261577e-11
5,5,0.0,3.7,5.162451863264327e-09,5.231319817053941e-11
5,5,0.0,3.75,5.164854478446705e-09,4.385086314072168e-11
5,5,0.0,3.8,5.166842686566936e-09,3.5732763168822523e-11
5,5,0.0,3.85,5.1684330805594104e-09,2.7934228292248383e-11
5,5,0.0,3.9,5.1696410326633315e-09,2.043110820175691e-11
5,5,0.0,3.95,5.1704807214896985e-09,1.319981471706822e-11
5,5,0.0,4.0,5.170965161081451e-09,6.21735910178956e-12
5,5,0.0,4.05,5.171106231718794e-09,-5.386153565596418e-13
5,5,0.0,4.1,5.170914712243719e-09,-7.089805104776028e-12
5,5,0.0,4.15,5.170400313696298e-09,-1.345722205234206e-11
5,5,0.0,4.2,5.169571714071413e-09,-1.9661172929423824e-11
5,5,0.0,4.25,5.168436594024619e-09,-2.5721241960604605e-11
5,5,0.0,4.3,5.1670016733665815e-09,-3.16562765659114e-11
5,5,0.0,4.35,5.165272748202909e-09,-3.7484375824826516e-11
5,5,0.0,4.4,5.163254728586444e-09,-4.3222881461929975e-11
5,5,0.0,4.45,5.160951676562276e-09,-4.888837113424439e-11
5,5,0.0,4.5,5.158366844494175e-09,-5.4496653820628934e-11
5,5,0.0,4.55,5.1555027135739605e-09,-6.006276713227246e-11
5,5,0.0,4.6,5.1523610324199e-09,-6.5600976380929e-11
