VG,VD,W,L,ID,abs_ID,log_ID,VG_scaled,VD_scaled,W_scaled,L_scaled
1.8,0.1,10.0,10.0,1.0732e-07,1.0732e-07,-6.9693193360000985,0.68,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.7,0.1,10.0,10.0,9.71722e-08,9.71722e-08,-7.012457964636176,0.67,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.6,0.1,10.0,10.0,8.71316e-08,8.71316e-08,-7.059824310931023,0.66,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.5,0.1,10.0,10.0,7.741299999999998e-08,7.741299999999998e-08,-7.111186101924537,0.65,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.4,0.1,10.0,10.0,6.7971e-08,6.7971e-08,-7.167676340622284,0.64,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.3,0.1,10.0,10.0,5.87888e-08,5.87888e-08,-7.230705404561678,0.63,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.2,0.1,10.0,10.0,4.98596e-08,4.98596e-08,-7.302251209957588,0.62,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.1,0.1,10.0,10.0,4.13848e-08,4.13848e-08,-7.383159139271616,0.61,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.0,0.1,10.0,10.0,3.3402199999999995e-08,3.3402199999999995e-08,-7.476224927907157,0.6,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.9,0.1,10.0,10.0,2.5953e-08,2.5953e-08,-7.58581243326291,0.59,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.8,0.1,10.0,10.0,1.91774e-08,1.91774e-08,-7.717210273192128,0.5800000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.7,0.1,10.0,10.0,1.31024e-08,1.31024e-08,-7.882649146230515,0.57,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.6,0.1,10.0,10.0,7.8288e-09,7.8288e-09,-8.106304801584137,0.56,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.5,0.1,10.0,10.0,3.6674e-09,3.6674e-09,-8.435641719349789,0.55,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.4,0.1,10.0,10.0,1.0742e-09,1.0742e-09,-8.96891485196052,0.54,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.3,0.1,10.0,10.0,1.5968e-10,1.5968e-10,-9.796749476056704,0.53,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.2,0.1,10.0,10.0,1.42496e-11,1.42496e-11,-10.846197326548872,0.52,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.1,0.1,10.0,10.0,-2.6602e-12,2.6602e-12,-11.575085710876012,0.51,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.0,0.1,10.0,10.0,5.1118e-12,5.1118e-12,-11.291426146358956,0.5,0.020000000000000004,0.03225806451612903,0.3333333333333333
-0.1,0.1,10.0,10.0,1.6092e-12,1.6092e-12,-11.793389976100777,0.49,0.020000000000000004,0.03225806451612903,0.3333333333333333
-0.2,0.1,10.0,10.0,-2.449e-12,2.449e-12,-11.611011214875285,0.48,0.020000000000000004,0.03225806451612903,0.3333333333333333
-0.3,0.1,10.0,10.0,-4.1894e-12,4.1894e-12,-11.377848171627491,0.47,0.020000000000000004,0.03225806451612903,0.3333333333333333
